winner,loser,annotator
762c,0815,na
3f1b,0965,na
70ff,2845,na
70ef,c0d7,na
9f2b,2845,na
e212,9f2b,na
dc8e,dc51,na
ffef,70ff,na
e212,1a2a,na
da90,17a9,na
da90,70ef,na
e212,b568,na
b568,60fb,na
762c,9f2b,na
e212,da90,na
945d,ecba,na
75f9,dc51,na
26e4,ecba,na
70ef,bbdd,na
91b2,9f2b,na
a46f,91b2,na
f717,0325,na
0965,ecba,na
b568,fb8d,na
fb8d,0815,na
70ff,dc51,na
f717,0965,na
a4ec,2845,na
e212,c0d7,na
e212,1a2a,na
d2a6,17a9,na
3c11,70ef,na
70ff,60fb,na
91b2,da90,na
91b2,f717,na
f717,9f2b,na
f717,da90,na
eb0e,da90,na
945d,762c,na
70ef,3f1b,na
26e4,e212,na
1a2a,91b2,na
91b2,762c,na
70ff,bbdd,na
a4d8,0965,na
75f9,bbdd,na
e212,d2a6,na
70ff,da90,na
ffef,fb8d,na
70ff,762c,na
1a2a,d2a6,na
75f9,f717,na
eb0e,1a2a,na
75f9,f717,na
eb0e,91b2,na
a46f,bbdd,na
91b2,3c11,na
f717,1a2a,na
3c11,0325,na
f717,ecba,na
fb8d,eb0e,na
fb8d,e212,na
70ff,75f9,na
762c,da90,na
eb0e,bbdd,na
d2a6,17a9,na
a46f,a4d8,na
91b2,0325,na
70ff,0815,na
75f9,17a9,na
ffef,a4d8,na
17a9,ecba,na
fb8d,26e4,na
91b2,d2a6,na
dc8e,0965,na
e212,da90,na
eb0e,75f9,na
1a2a,26e4,na
75f9,762c,na
eb0e,c0d7,na
75f9,c096,na
fb8d,9f2b,na
6500,dc51,na
70ff,f717,na
d2a6,75f9,na
ffef,17a9,na
fb8d,eb0e,na
9f2b,3c11,na
91b2,a46f,na
21d7,c096,na
dc8e,d2a6,na
0965,17a9,na
eb0e,3c11,na
75f9,ecba,na
0965,0815,na
3c11,26e4,na
945d,9f2b,na
a4d8,1a2a,na
e212,75f9,na
ffef,96b9,na
2845,c096,na
762c,9f2b,na
70ff,ecba,na
da90,17a9,na
0965,17a9,na
dc8e,c0d7,na
ffef,d2a6,na
70ff,26e4,na
3f1b,6500,na
fb8d,0325,na
f717,ecba,na
26e4,96b9,na
a4d8,70ff,na
a4d8,75f9,na
945d,1a2a,na
3c11,17a9,na
3f1b,17a9,na
eb0e,c096,na
c096,ecba,na
945d,c096,na
f717,da90,na
0965,fb8d,na
dc8e,d2a6,na
ecba,0965,na
a4ec,dc8e,na
762c,b568,na
ecba,3c11,na
da90,0815,na
3c11,0815,na
2845,dc51,na
3f1b,17a9,na
ffef,c096,na
fb8d,60fb,na
a4d8,ecba,na
945d,dc8e,na
ffef,0815,na
0325,da90,na
3f1b,6500,na
21d7,d2a6,na
bbdd,c096,na
21d7,c096,na
21d7,17a9,na
fb8d,0815,na
26e4,a46f,na
a4d8,e212,na
a4ec,dc51,na
a4ec,0815,na
eb0e,0815,na
9f2b,dc51,na
3c11,0325,na
c096,70ef,na
b568,c0d7,na
a4d8,26e4,na
ffef,fb8d,na
762c,17a9,na
0325,60fb,na
21d7,dc51,na
dc8e,a4d8,na
ffef,70ef,na
70ef,762c,na
2845,0325,na
70ef,ecba,na
21d7,762c,na
dc8e,6500,na
0325,1a2a,na
0815,c096,na
c0d7,9f2b,na
91b2,0815,na
21d7,ffef,na
a4ec,21d7,na
21d7,26e4,na
da90,6500,na
9f2b,26e4,na
96b9,c0d7,na
e212,2845,na
a4ec,c0d7,na
9f2b,60fb,na
26e4,6500,na
f717,2845,na
a46f,da90,na
1a2a,0815,na
eb0e,dc51,na
21d7,1a2a,na
70ff,c0d7,na
ffef,bbdd,na
0965,70ef,na
762c,96b9,na
21d7,2845,na
fb8d,70ef,na
3c11,c096,na
26e4,91b2,na
3f1b,0325,na
945d,a46f,na
945d,96b9,na
26e4,6500,na
0815,e212,na
b568,6500,na
dc8e,96b9,na
b568,6500,na
bbdd,17a9,na
f717,c0d7,na
0325,fb8d,na
d2a6,26e4,na
945d,fb8d,na
a4ec,21d7,na
d2a6,1a2a,na
0965,a4ec,na
a46f,c0d7,na
26e4,2845,na
945d,dc51,na
a4ec,945d,na
0965,60fb,na
26e4,21d7,na
eb0e,c096,na
a4ec,3f1b,na
a4ec,0965,na
dc8e,a4d8,na
f717,0325,na
1a2a,17a9,na
bbdd,17a9,na
91b2,a4ec,na
d2a6,96b9,na
70ef,c096,na
c0d7,b568,na
f717,ecba,na
fb8d,c0d7,na
b568,96b9,na
945d,a4d8,na
21d7,b568,na
ffef,fb8d,na
3f1b,dc51,na
da90,d2a6,na
c0d7,c096,na
dc8e,26e4,na
2845,3c11,na
